Date : 2022-12-26 20:32:45
Directory : c:\Users\ferna\Documents\Desarrollo\SIMR
Total : 517 files,  81252 codes, 26362 comments, 11502 blanks, all 119116 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-css\css\bootstrap.min.css                                | CSS        |          1 |          5 |          0 |          6 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-css\fonts\glyphicons-halflings-regular.svg               | XML        |        288 |          0 |          0 |        288 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-css\js\bootstrap.js                                      | JavaScript |      1,588 |        193 |        583 |      2,364 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-css\js\bootstrap.min.js                                  | JavaScript |          2 |          5 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\.bower.json                                       | JSON       |         41 |          0 |          0 |         41 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\bower.json                                        | JSON       |         31 |          0 |          1 |         32 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\css\bootstrap-select.css                     | CSS        |        273 |          8 |          1 |        282 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\css\bootstrap-select.min.css                 | CSS        |          1 |          5 |          0 |          6 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\bootstrap-select.js                       | JavaScript |      1,395 |        114 |        227 |      1,736 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\bootstrap-select.min.js                   | JavaScript |          1 |          7 |          0 |          8 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-ar_AR.js                    | JavaScript |         30 |         15 |          5 |         50 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-ar_AR.min.js                | JavaScript |          2 |         10 |          0 |         12 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-bg_BG.js                    | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-bg_BG.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-cro_CRO.js                  | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-cro_CRO.min.js              | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-cs_CZ.js                    | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-cs_CZ.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-da_DK.js                    | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-da_DK.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-de_DE.js                    | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-de_DE.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-en_US.js                    | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-en_US.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-es_CL.js                    | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-es_CL.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-eu.js                       | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-eu.min.js                   | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-fa_IR.js                    | JavaScript |         23 |         10 |          5 |         38 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-fa_IR.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-fi_FI.js                    | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-fi_FI.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-fr_FR.js                    | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-fr_FR.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-hu_HU.js                    | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-hu_HU.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-id_ID.js                    | JavaScript |         23 |         10 |          5 |         38 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-id_ID.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-it_IT.js                    | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-it_IT.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-ko_KR.js                    | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-ko_KR.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-lt_LT.js                    | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-lt_LT.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-nb_NO.js                    | JavaScript |         42 |         20 |          9 |         71 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-nb_NO.min.js                | JavaScript |          2 |         11 |          0 |         13 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-nl_NL.js                    | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-nl_NL.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-pl_PL.js                    | JavaScript |         23 |         10 |          5 |         38 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-pl_PL.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-pt_BR.js                    | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-pt_BR.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-pt_PT.js                    | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-pt_PT.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-ro_RO.js                    | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-ro_RO.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-ru_RU.js                    | JavaScript |         22 |         10 |          5 |         37 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-ru_RU.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-sk_SK.js                    | JavaScript |         23 |         10 |          5 |         38 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-sk_SK.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-sl_SI.js                    | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-sl_SI.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-sv_SE.js                    | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-sv_SE.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-tr_TR.js                    | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-tr_TR.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-ua_UA.js                    | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-ua_UA.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-zh_CN.js                    | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-zh_CN.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-zh_TW.js                    | JavaScript |         23 |         10 |          5 |         38 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\dist\js\i18n\defaults-zh_TW.min.js                | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\custom_theme\base.html                       | HTML       |         80 |          5 |         11 |         96 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\custom_theme\css\base.css                    | CSS        |         91 |         13 |         13 |        117 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\custom_theme\js\base.js                      | JavaScript |         16 |          2 |          3 |         21 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\custom_theme\nav.html                        | HTML       |         51 |          5 |          5 |         61 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\custom_theme\toc.html                        | HTML       |         14 |          0 |          0 |         14 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\css\custom.css                          | CSS        |        256 |          6 |         42 |        304 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\css\bootstrap-select.css           | CSS        |        273 |          8 |          1 |        282 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\css\bootstrap-select.min.css       | CSS        |          1 |          5 |          0 |          6 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\bootstrap-select.js             | JavaScript |      1,395 |        114 |        227 |      1,736 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\bootstrap-select.min.js         | JavaScript |          1 |          7 |          0 |          8 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-ar_AR.js          | JavaScript |         30 |         15 |          5 |         50 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-ar_AR.min.js      | JavaScript |          2 |         10 |          0 |         12 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-bg_BG.js          | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-bg_BG.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-cro_CRO.js        | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-cro_CRO.min.js    | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-cs_CZ.js          | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-cs_CZ.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-da_DK.js          | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-da_DK.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-de_DE.js          | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-de_DE.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-en_US.js          | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-en_US.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-es_CL.js          | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-es_CL.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-eu.js             | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-eu.min.js         | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-fa_IR.js          | JavaScript |         23 |         10 |          5 |         38 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-fa_IR.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-fi_FI.js          | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-fi_FI.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-fr_FR.js          | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-fr_FR.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-hu_HU.js          | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-hu_HU.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-id_ID.js          | JavaScript |         23 |         10 |          5 |         38 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-id_ID.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-it_IT.js          | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-it_IT.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-ko_KR.js          | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-ko_KR.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-lt_LT.js          | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-lt_LT.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-nb_NO.js          | JavaScript |         42 |         20 |          9 |         71 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-nb_NO.min.js      | JavaScript |          2 |         11 |          0 |         13 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-nl_NL.js          | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-nl_NL.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-pl_PL.js          | JavaScript |         23 |         10 |          5 |         38 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-pl_PL.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-pt_BR.js          | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-pt_BR.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-pt_PT.js          | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-pt_PT.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-ro_RO.js          | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-ro_RO.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-ru_RU.js          | JavaScript |         22 |         10 |          5 |         37 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-ru_RU.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-sk_SK.js          | JavaScript |         23 |         10 |          5 |         38 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-sk_SK.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-sl_SI.js          | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-sl_SI.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-sv_SE.js          | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-sv_SE.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-tr_TR.js          | JavaScript |         30 |         10 |          5 |         45 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-tr_TR.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-ua_UA.js          | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-ua_UA.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-zh_CN.js          | JavaScript |         21 |         10 |          5 |         36 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-zh_CN.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-zh_TW.js          | JavaScript |         23 |         10 |          5 |         38 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\dist\js\i18n\defaults-zh_TW.min.js      | JavaScript |          1 |          6 |          0 |          7 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\examples.md                             | Markdown   |        775 |          0 |        128 |        903 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\index.md                                | Markdown   |         57 |          3 |         30 |         90 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\methods.md                              | Markdown   |        166 |          0 |         66 |        232 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\docs\options.md                              | Markdown   |        259 |          0 |         10 |        269 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\docs\mkdocs.yml                                   | YAML       |         17 |          0 |          1 |         18 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\bootstrap-select.js                            | JavaScript |      1,383 |        104 |        223 |      1,710 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-ar_AR.js                         | JavaScript |         18 |          5 |          1 |         24 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-bg_BG.js                         | JavaScript |         18 |          5 |          1 |         24 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-cro_CRO.js                       | JavaScript |         18 |          5 |          1 |         24 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-cs_CZ.js                         | JavaScript |          9 |          5 |          1 |         15 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-da_DK.js                         | JavaScript |         18 |          5 |          1 |         24 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-de_DE.js                         | JavaScript |          9 |          5 |          1 |         15 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-en_US.js                         | JavaScript |         18 |          5 |          1 |         24 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-es_CL.js                         | JavaScript |          9 |          5 |          1 |         15 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-select\js\i18n\defaults-eu.js                            | JavaScript |          9 |          5 |          1 |         15 |
