Date : 2022-12-26 20:32:45
Directory : c:\Users\ferna\Documents\Desarrollo\SIMR
Total : 517 files,  81252 codes, 26362 comments, 11502 blanks, all 119116 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\models\medio.server.model.js                                              | JavaScript |        114 |          4 |         16 |        134 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\models\obra.server.model.js                                               | JavaScript |        199 |         10 |         22 |        231 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\models\proyecto.server.model.js                                           | JavaScript |         95 |          4 |          9 |        108 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\models\recurso.server.model.js                                            | JavaScript |        194 |          7 |         26 |        227 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\models\sistema.server.model.js                                            | JavaScript |        116 |          4 |         17 |        137 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\models\user.server.model.js                                               | JavaScript |         80 |         23 |         16 |        119 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\actores.server.routes.js                                           | JavaScript |         13 |          5 |          5 |         23 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\colecciones.server.routes.js                                       | JavaScript |         13 |          5 |          5 |         23 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\diccionarios.server.routes.js                                      | JavaScript |         13 |          5 |          5 |         23 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\ejemplares.server.routes.js                                        | JavaScript |         13 |          5 |          5 |         23 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\fondos.server.routes.js                                            | JavaScript |         13 |          5 |          5 |         23 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\generos.server.routes.js                                           | JavaScript |         13 |          5 |          5 |         23 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\generosnomusicales.server.routes.js                                | JavaScript |         23 |          5 |          6 |         34 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\idiomas.server.routes.js                                           | JavaScript |         13 |          5 |          5 |         23 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\index.server.routes.js                                             | JavaScript |          4 |          0 |          1 |          5 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\instrumentos.server.routes.js                                      | JavaScript |         13 |          5 |          5 |         23 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\materias.server.routes.js                                          | JavaScript |         13 |          5 |          5 |         23 |
