"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "CSS", "Less", "SCSS", "YAML", "XML", "comment", "blank", "total"
"c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\diccionarios.server.routes.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 23
"c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\ejemplares.server.routes.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 23
"c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\fondos.server.routes.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 23
"c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\generos.server.routes.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 23
"c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\generosnomusicales.server.routes.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 34
"c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\idiomas.server.routes.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 23
"c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\index.server.routes.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\instrumentos.server.routes.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 23
"c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\materias.server.routes.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 23
"c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\medios.server.routes.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 23
"c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\obras.server.routes.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 23
"c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\proyectos.server.routes.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 23
"c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\recursos.server.routes.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 23
"c:\Users\ferna\Documents\Desarrollo\SIMR\app\routes\sistemas.server.routes.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 23
